기준일,예금            ,예금미수이자    ,콜론            ,콜미수이자      ,정기예금        ,정기예금미수이자,REPO            ,REPO미수이자    ,채권            ,채권미수이자    ,외화예금        ,외화정기예금    ,외화예금미수이자,외화채권        ,외화채권미수이자
20250214,3773237288,2602286,0,0,0,0,0,0,0,0,0,0,0,0,0
20250215,3773237288,2863828,0,0,0,0,0,0,0,0,0,0,0,0,0
20250216,3773237288,3125370,0,0,0,0,0,0,0,0,0,0,0,0,0
20250217,1781994859,3248889,0,0,0,0,0,0,0,0,0,0,0,0,0
20250218,5926954934,3659717,0,0,0,0,0,0,0,0,0,0,0,0,0
20250219,4709713928,3986171,0,0,0,0,0,0,0,0,0,0,0,0,0
20250220,6294561448,4422479,0,0,0,0,0,0,0,0,0,0,0,0,0
20250221,594244476,4463669,0,0,0,0,0,0,0,0,0,0,0,0,0
20250222,594244476,4504859,0,0,0,0,0,0,0,0,0,0,0,0,0
20250223,594244476,4546049,0,0,0,0,0,0,0,0,0,0,0,0,0
20250224,4026638549,4825156,0,0,0,0,0,0,0,0,0,0,0,0,0
20250225,3901376424,5095580,0,0,0,0,0,0,0,0,0,0,0,0,0
20250226,3901376424,5341420,0,0,0,0,0,0,0,0,0,0,0,0,0
20250227,5529473873,5689852,0,0,0,0,0,0,0,0,0,0,0,0,0
20250228,1997425058,5815717,0,0,0,0,0,0,0,0,0,0,0,0,0
20250301,1997425058,5941582,0,0,0,0,0,0,0,0,0,0,0,0,0
20250302,1997425058,6067447,0,0,0,0,0,0,0,0,0,0,0,0,0
20250303,1997425058,6193312,0,0,0,0,0,0,0,0,0,0,0,0,0
20250304,1931340775,499296,0,0,0,0,0,0,0,0,0,0,0,0,0
20250305,2603672210,663363,0,0,0,0,0,0,0,0,0,0,0,0,0
20250306,6089914380,1047111,0,0,0,0,0,0,0,0,0,0,0,0,0
20250307,1396150442,1135087,0,0,0,0,0,0,0,0,0,0,0,0,0
20250308,1396150442,1223064,0,0,0,0,0,0,0,0,0,0,0,0,0
20250309,1396150442,1311041,0,0,0,0,0,0,0,0,0,0,0,0,0
20250310,2179918007,1448405,0,0,0,0,0,0,0,0,0,0,0,0,0
20250311,1962515989,1572071,0,0,0,0,0,0,0,0,0,0,0,0,0
20250312,1620690719,1674197,0,0,0,0,0,0,0,0,0,0,0,0,0
20250313,4409474867,1952054,0,0,0,0,0,0,0,0,0,0,0,0,0
20250314,1211190537,2028375,0,0,0,0,0,0,0,0,0,0,0,0,0
20250315,1211190537,2104697,0,0,0,0,0,0,0,0,0,0,0,0,0
20250316,1211190537,2181019,0,0,0,0,0,0,0,0,0,0,0,0,0
20250317,5013645892,2496947,0,0,0,0,0,0,0,0,0,0,0,0,0
20250318,5562279197,2847447,0,0,0,0,0,0,0,0,0,0,0,0,0
20250319,4077116907,3104361,0,0,0,0,0,0,0,0,0,0,0,0,0
20250320,4194382302,3368665,0,0,0,0,0,0,0,0,0,0,0,0,0
20250321,3994625562,3620381,0,0,0,0,0,0,0,0,0,0,0,0,0
20250322,3994625562,3872097,0,0,0,0,0,0,0,0,0,0,0,0,0
20250323,3994625562,4123813,0,0,0,0,0,0,0,0,0,0,0,0,0
20250324,3295421227,4331470,0,0,0,0,0,0,0,0,0,0,0,0,0
20250325,1176573072,4405610,0,0,0,0,0,0,0,0,0,0,0,0,0
20250326,1285706451,4486627,0,0,0,0,0,0,0,0,0,0,0,0,0
20250327,3097746680,4681827,0,0,0,0,0,0,0,0,0,0,0,0,0
20250328,1453098565,4773393,0,0,0,0,0,0,0,0,0,0,0,0,0
20250329,1453098565,4864958,0,0,0,0,0,0,0,0,0,0,0,0,0
20250330,1453098565,4956523,0,0,0,0,0,0,0,0,0,0,0,0,0
20250331,638681835,4996768,0,0,0,0,0,0,0,0,0,0,0,0,0
20250401,2375651353,149698,0,0,0,0,0,0,0,0,0,0,0,0,0
20250402,6755953286,575416,0,0,0,0,0,0,0,0,0,0,0,0,0
20250403,1123406377,646206,0,0,0,0,0,0,0,0,0,0,0,0,0
20250404,3191190740,847294,0,0,0,0,0,0,0,0,0,0,0,0,0
20250405,3191190740,1048383,0,0,0,0,0,0,0,0,0,0,0,0,0
20250406,3191190740,1249472,0,0,0,0,0,0,0,0,0,0,0,0,0
20250407,3525040945,1471598,0,0,0,0,0,0,0,0,0,0,0,0,0
20250408,3409897108,1686468,0,0,0,0,0,0,0,0,0,0,0,0,0
20250409,6515588941,2097039,0,0,0,0,0,0,0,0,0,0,0,0,0
20250410,7278914982,2555711,0,0,0,0,0,0,0,0,0,0,0,0,0
20250411,7111756273,3003849,0,0,0,0,0,0,0,0,0,0,0,0,0
20250412,7111756273,3451987,0,0,0,0,0,0,0,0,0,0,0,0,0
20250413,7111756273,3900125,0,0,0,0,0,0,0,0,0,0,0,0,0
20250414,7971653849,4402448,0,0,0,0,0,0,0,0,0,0,0,0,0
20250415,4044575209,4657312,0,0,0,0,0,0,0,0,0,0,0,0,0
20250416,4280292324,4927029,0,0,0,0,0,0,0,0,0,0,0,0,0
20250417,5213997315,5255582,0,0,0,0,0,0,0,0,0,0,0,0,0
20250418,6719467549,5679001,0,0,0,0,0,0,0,0,0,0,0,0,0
20250419,6719467549,6102419,0,0,0,0,0,0,0,0,0,0,0,0,0
20250420,6719467549,6525838,0,0,0,0,0,0,0,0,0,0,0,0,0
20250421,6436799507,6931444,0,0,0,0,0,0,0,0,0,0,0,0,0
20250422,5164510486,7256879,0,0,0,0,0,0,0,0,0,0,0,0,0
20250423,3729789905,7491907,0,0,0,0,0,0,0,0,0,0,0,0,0
20250424,4622820816,7783208,0,0,0,0,0,0,0,0,0,0,0,0,0
20250425,2808938462,7960210,0,0,0,0,0,0,0,0,0,0,0,0,0
20250426,2808938462,8137211,0,0,0,0,0,0,0,0,0,0,0,0,0
20250427,2808938462,8314213,0,0,0,0,0,0,0,0,0,0,0,0,0
20250428,3612108492,8541825,0,0,0,0,0,0,0,0,0,0,0,0,0
20250429,3611142077,8769377,0,0,0,0,0,0,0,0,0,0,0,0,0
20250430,3842777358,9011524,0,0,0,0,0,0,0,0,0,0,0,0,0
20250501,3842777358,9253671,0,0,0,0,0,0,0,0,0,0,0,0,0
20250502,2806381334,418988,0,0,0,0,0,0,0,0,0,0,0,0,0
20250503,2806381334,595828,0,0,0,0,0,0,0,0,0,0,0,0,0
20250504,2806381334,772669,0,0,0,0,0,0,0,0,0,0,0,0,0
20250505,2806381334,949509,0,0,0,0,0,0,0,0,0,0,0,0,0
20250506,2806381334,1126349,0,0,0,0,0,0,0,0,0,0,0,0,0
20250507,3911347100,1372818,0,0,0,0,0,0,0,0,0,0,0,0,0
20250508,743235935,1419652,0,0,0,0,0,0,0,0,0,0,0,0,0
20250509,3049207918,1611794,0,0,0,0,0,0,0,0,0,0,0,0,0
20250510,3049207918,1803936,0,0,0,0,0,0,0,0,0,0,0,0,0
20250511,3049207918,1996078,0,0,0,0,0,0,0,0,0,0,0,0,0
20250512,3038644578,2187554,0,0,0,0,0,0,0,0,0,0,0,0,0
20250513,3796573438,2426790,0,0,0,0,0,0,0,0,0,0,0,0,0
20250514,2943238768,2612254,0,0,0,0,0,0,0,0,0,0,0,0,0
20250515,3244477098,2816701,0,0,0,0,0,0,0,0,0,0,0,0,0
20250516,125735801,2824624,0,0,0,0,0,0,0,0,0,0,0,0,0
20250517,125735801,2832547,0,0,0,0,0,0,0,0,0,0,0,0,0
20250518,125735801,2840470,0,0,0,0,0,0,0,0,0,0,0,0,0
20250519,2042797601,2969194,0,0,0,0,0,0,0,0,0,0,0,0,0
20250520,1779646677,3081336,0,0,0,0,0,0,0,0,0,0,0,0,0
20250521,1917267625,3202150,0,0,0,0,0,0,0,0,0,0,0,0,0
20250522,2488539531,3358963,0,0,0,0,0,0,0,0,0,0,0,0,0
20250523,1612370051,3460564,0,0,0,0,0,0,0,0,0,0,0,0,0
20250524,1612370051,3562165,0,0,0,0,0,0,0,0,0,0,0,0,0
20250525,1612370051,3663767,0,0,0,0,0,0,0,0,0,0,0,0,0
