기준일,예금            ,예금미수이자    ,콜론            ,콜미수이자      ,정기예금        ,정기예금미수이자,REPO            ,REPO미수이자    ,채권            ,채권미수이자    ,외화예금        ,외화정기예금    ,외화예금미수이자,외화채권        ,외화채권미수이자
20251212,1587508594,1714455,0,0,0,0,0,0,0,0,0,0,0,0,0
20251213,1587508594,1804486,0,0,0,0,0,0,0,0,0,0,0,0,0
20251214,1587508594,1894517,0,0,0,0,0,0,0,0,0,0,0,0,0
20251215,4704142188,2161300,0,0,0,0,0,0,0,0,0,0,0,0,0
20251216,1256178821,2232541,0,0,0,0,1000000000,70410,0,0,0,0,0,0,0
20251217,2229957831,2359007,0,0,0,0,0,0,0,0,0,0,0,0,0
20251218,2914270891,2524282,0,0,0,0,1000000000,70410,0,0,0,0,0,0,0
20251219,327676385,2542866,0,0,0,0,5000000000,353422,0,0,0,0,0,0,0
20251220,327676385,2561449,0,0,0,0,5000000000,706847,0,0,0,0,0,0,0
20251221,327676385,2580032,0,0,0,0,5000000000,1060272,0,0,0,0,0,0,0
20251222,3128619169,2757463,0,0,0,0,0,0,0,0,0,0,0,0,0
20251223,2566124084,2902994,0,0,0,0,0,0,0,0,0,0,0,0,0
20251224,260244364,2917753,0,0,0,0,0,0,0,0,0,0,0,0,0
20251225,260244364,2932512,0,0,0,0,0,0,0,0,0,0,0,0,0
20251226,12641479163,3649440,0,0,0,0,0,0,0,0,0,0,0,0,0
20251227,12641479163,4366368,0,0,0,0,0,0,0,0,0,0,0,0,0
20251228,12641479163,5083296,0,0,0,0,0,0,0,0,0,0,0,0,0
20251229,5860537899,5415660,0,0,0,0,9000000000,641095,5366354131,220650,0,0,0,0,0
20251230,7183488821,5823053,0,0,0,0,0,0,5366631364,441299,0,0,0,0,0
20251231,7196301321,6231172,0,0,0,0,0,0,5368673944,661948,0,0,0,0,0
