기준일,좌수   ,순자산,과세순자산
20250816,2300000,58115796689,30034921660
20250817,2300000,58115675042,30034800013
20250818,2300000,56311835788,30034757859
20250819,2300000,55487866349,30034818304
20250820,2300000,54841061585,30034167111
20250821,2300000,55131720532,30039248241
20250822,2300000,56010023779,30039149809
20250823,2300000,56010151414,30039277444
20250824,2300000,56010279148,30039405178
20250825,2300000,57442632941,30038677359
20250826,2300000,56284199239,30043709621
20250827,2300000,56562215082,30044027861
20250828,2300000,57058257619,30066339452
20250829,2300000,56563891946,30070233957
20250830,2300000,56564049890,30070391901
20250831,2300000,56564207734,30070549745
20250901,2300000,54733525684,30070692526
20250902,2300000,55941264811,30070310912
20250903,2300000,56469873656,30070163079
20250904,2200000,54405376308,28762764674
20250905,2200000,54804042073,28762316439
20250906,2200000,54804121097,28762395463
20250907,2200000,54804200121,28762474487
20250908,2200000,55254038998,28763056750
20250909,2200000,56775654782,28761845919
20250910,2200000,58990324023,28761952530
20250911,2100000,57340373352,27457607994
20250912,2100000,59664893984,27457979136
20250913,2100000,59664872753,27457957905
20250914,2100000,59664851422,27457936574
20250915,2100000,60181651242,27455627120
20250916,2000000,59231206492,26145712064
20250917,2000000,57810616846,26145754607
20250918,2000000,59809797106,26145646955
20250919,2000000,59417430011,26145013384
20250920,2000000,59417376138,26144959511
20250921,2000000,59417322363,26144905736
20250922,2000000,60537557311,26144844827
20250923,2000000,61466244071,26144854953
20250924,2000000,61082093708,26144545439
20250925,2000000,61115530587,26144234837
20250926,2000000,58041071325,26144198613
20250927,2000000,58041040518,26144167806
20250928,2000000,58041009711,26144136999
20250929,2100000,62937795243,27509286946
20250930,2100000,62615591761,27517866715
20251001,2100000,63918334227,27516730852
20251002,2100000,67757309254,27516101922
20251003,2100000,67757437446,27516230114
20251004,2100000,67757565739,27516358407
20251005,2100000,67757693931,27516486599
20251006,2100000,67757822223,27516614891
20251007,2100000,67757950414,27516743082
20251008,2100000,67758078606,27516871274
20251009,2100000,67758206897,27516999565
20251010,2100000,71324132195,27515298962
20251011,2100000,71324303673,27515470440
20251012,2100000,71324475252,27515642019
20251013,2100000,69740227909,27513523622
20251014,2100000,68431257869,27511665080
20251015,2000000,68837593573,26197480325
20251016,2100000,76078072579,27506438060
20251017,2100000,76410914730,27506711348
20251018,2100000,76411202550,27506999168
20251019,2100000,76411490470,27507287088
20251020,2100000,79355037891,27504830834
20251021,2100000,79551273885,27505125795
20251022,2100000,81497038334,27504189920
20251023,2100000,79624146070,27500181662
20251024,2300000,91771470691,30115871195
20251025,2300000,91771996444,30116396948
20251026,2300000,91772522098,30116922602
20251027,2300000,96862487238,30117259988
20251028,2300000,94922319673,30113981961
20251029,2300000,98958994625,30108501384
20251030,2400000,103979972512,31417656060
20251031,2400000,106178075560,31418542984
20251101,2400000,106178524580,31418992004
20251102,2400000,106178973501,31419440925
20251103,2400000,112921933227,31427467051
20251104,2500000,111240199193,32745798243
20251105,2500000,104645903110,32742630258
20251106,2500000,105903419583,32740405677
20251107,2500000,102024431142,32746189939
20251108,2500000,102025107228,32746866025
20251109,2500000,102025783314,32747542111
20251110,2600000,112870680598,34051899651
20251111,2600000,114962541480,34062745997
20251112,2600000,117259227428,34064543468
20251113,2600000,118325058938,34076471070
20251114,2600000,107601548561,34078247167
20251115,2600000,107601797763,34078496369
20251116,2600000,107602047062,34078745668
20251117,2600000,112487519946,34074722599
20251118,2700000,108933294675,35380723948
20251119,2700000,107586992753,35380935605
20251120,2700000,112306805541,35375734604
20251121,2700000,102638496678,35367978944
20251122,2700000,102638918211,35368400477
20251123,2700000,102639339844,35368822110
20251124,2600000,99184781308,34057683775
20251125,2600000,100480606492,34059014003
20251126,2700000,109821563019,35369242031
20251127,2700000,111307657447,35391776651
20251128,2700000,108105463184,35394251960
20251129,2700000,108105591064,35394379840
20251130,2700000,108105718843,35394507619
20251201,2600000,103541950222,34087873000
20251202,2600000,107981075976,34083837764
20251203,2600000,110115647104,34081315448
20251204,2600000,109690116943,34077516714
20251205,2500000,109369311868,32763416609
20251206,2500000,109369116047,32763220788
20251207,2500000,109368920125,32763024866
20251208,2500000,112487706269,32761191416
20251209,2500000,111157346086,32759653914
20251210,2500000,111074484010,32759533812
20251211,2500000,108998516562,32749194330
20251212,2400000,107741290497,31438006332
20251213,2400000,107740827704,31437543539
20251214,2400000,107740364812,31437080647
20251215,2400000,102700812695,31437180049
20251216,2400000,98377889690,31435785968
20251217,2400000,102062714776,31433833884
20251218,2400000,99455495619,31427140382
20251219,2500000,105015609730,32734080472
20251220,2500000,105015872593,32734343335
20251221,2500000,105016135556,32734606298
20251222,2600000,114282292285,34040644825
20251223,2600000,114930519759,34041254971
20251224,2600000,114843743264,34041277820
20251225,2600000,114843603140,34041137696
20251226,2900000,130430951896,37948116771
20251227,2900000,130431533496,37948698371
20251228,2900000,129562115196,37079280071
20251229,2900000,136651345536,37291371958
20251230,2900000,137369062807,37354642013
20251231,2900000,137368956901,37354536107
